COD_MUNICIPIO,NOME_MUNICIPIO,MEDIA_SOMA_NOTA_CH,MEDIA_SOMA_NOTA_CN,MEDIA_SOMA_NOTA_LC,MEDIA_SOMA_NOTA_MT,MEDIA_SOMA_INSE_VALOR_ABSOLUTO
4204202,Chapecó,589.07,569.59,579.14,677.84,5.38
4204251,Cocal do Sul,550.95,513.45,543.0,556.75,5.6
4204301,Concórdia,582.02,537.69,578.95,637.6,5.55
4204608,Criciúma,574.79,545.62,573.92,651.14,5.46
4204806,Curitibanos,616.01,555.76,592.58,624.67,5.29
4205407,Florianópolis,598.15,575.97,583.77,678.43,5.33
4205456,Forquilhinha,410.0,429.7,432.1,486.55,5.42
4205506,Fraiburgo,590.78,566.56,589.26,671.78,5.32
4205803,Garuva,490.5,509.0,525.1,483.5,5.33
4205902,Gaspar,535.43,546.91,549.51,622.78,5.52
4206751,Ibiam,451.8,,486.1,,5.33
4207007,Içara,474.7,409.0,508.1,419.3,5.58
4207304,Imbituba,540.17,558.28,547.7,609.23,5.42
4207502,Indaial,580.89,556.96,578.33,670.77,5.62
