COD_MUNICIPIO,NOME_MUNICIPIO,MEDIA_SOMA_NOTA_CH,MEDIA_SOMA_NOTA_CN,MEDIA_SOMA_NOTA_LC,MEDIA_SOMA_NOTA_MT,MEDIA_SOMA_INSE_VALOR_ABSOLUTO
3505005,Barão de Antonina,511.93,484.87,532.63,554.12,5.04
3505104,Barbosa,448.96,440.28,505.42,479.22,4.79
3505203,Bariri,526.95,487.4,536.59,557.27,5.29
3505302,Barra Bonita,522.73,494.76,533.87,563.78,5.4
3505351,Barra do Chapéu,512.29,472.01,513.43,509.16,4.55
3505401,Barra do Turvo,467.16,449.37,489.2,494.98,4.64
3505500,Barretos,507.34,485.62,521.94,532.87,5.25
3505609,Barrinha,467.01,458.66,491.3,495.75,5.12
3505708,Barueri,528.16,492.7,542.03,552.48,5.34
3505807,Bastos,494.24,444.18,514.42,503.17,5.34
3505906,Batatais,515.2,490.65,536.12,548.77,5.23
3506003,Bauru,532.03,502.3,538.27,558.5,5.4
3506102,Bebedouro,533.13,508.51,539.54,567.28,5.35
3506201,Bento de Abreu,474.72,466.16,512.82,518.0,5.38
3506300,Bernardino de Campos,482.2,451.11,485.24,498.0,5.23
3506359,Bertioga,499.63,459.7,519.68,503.44,4.98
3506409,Bilac,477.74,426.34,489.52,456.89,5.41
3506508,Birigui,519.22,494.02,534.26,554.82,5.32
3506607,Biritiba Mirim,498.14,469.89,516.03,500.64,5.08
3506706,Boa Esperança do Sul,463.58,459.17,487.98,463.86,5.16
3506805,Bocaina,500.9,474.93,524.14,516.32,5.38
3506904,Bofete,494.46,463.71,524.94,527.51,5.21
3507001,Boituva,517.55,494.34,530.34,558.72,5.36
3507100,Bom Jesus dos Perdões,488.98,461.14,519.67,501.3,5.17
3507159,Bom Sucesso de Itararé,484.06,441.28,483.85,486.01,4.8
3507209,Borá,495.86,483.0,500.38,485.26,5.29
3507308,Boracéia,483.79,465.68,497.16,496.72,5.19
3507407,Borborema,470.1,445.78,507.73,492.24,5.13
3507456,Borebi,523.27,431.07,518.17,484.93,5.19
3507506,Botucatu,541.31,528.68,548.87,595.49,5.34
3507605,Bragança Paulista,527.33,491.43,538.7,561.36,5.33
3507704,Braúna,510.22,439.59,524.09,515.31,5.19
3507753,Brejo Alegre,487.05,426.67,504.36,500.09,5.11
3507803,Brodowski,504.62,483.1,515.67,525.26,5.37
3507902,Brotas,524.67,493.77,534.3,561.46,5.27
3508009,Buri,467.43,440.31,495.91,474.9,5.08
3508108,Buritama,461.13,444.81,489.28,507.37,5.22
3508207,Buritizal,459.95,415.12,483.55,499.02,5.22
3508306,Cabrália Paulista,468.91,484.06,503.16,506.48,5.13
3508405,Cabreúva,502.42,456.57,521.93,511.06,5.24
3508504,Caçapava,516.46,477.79,533.92,540.35,5.22
3508603,Cachoeira Paulista,496.99,460.22,513.65,529.04,5.03
3508702,Caconde,484.67,461.08,496.84,525.84,5.13
3508801,Cafelândia,492.91,467.39,513.64,496.36,5.14
3508900,Caiabu,485.58,418.56,493.85,488.66,5.21
3509007,Caieiras,507.3,467.56,527.45,509.27,5.31
3509106,Caiuá,482.83,453.44,502.9,507.11,5.13
3509205,Cajamar,498.32,467.13,519.74,510.93,5.15
3509254,Cajati,492.36,471.67,507.46,509.99,4.92
3509304,Cajobi,490.87,445.19,502.67,511.33,5.26
3509403,Cajuru,488.08,455.49,511.7,498.37,5.2
3509452,Campina do Monte Alegre,503.76,452.27,518.1,507.42,5.08
3509502,Campinas,535.56,506.89,545.8,571.24,5.35
3509601,Campo Limpo Paulista,510.76,477.9,531.27,534.86,5.39
3509700,Campos do Jordão,517.99,486.48,537.34,543.91,5.26
3509809,Campos Novos Paulista,462.86,448.85,478.66,476.09,5.06
3509908,Cananéia,484.31,457.16,503.88,476.25,4.94
3509957,Canas,475.5,465.98,507.05,477.56,4.95
3510005,Cândido Mota,488.65,473.19,515.21,513.11,5.21
3510104,Cândido Rodrigues,479.78,437.47,497.88,497.66,5.3
3510153,Canitar,443.25,400.85,468.25,461.2,5.05
3510203,Capão Bonito,506.94,475.75,522.59,525.78,5.06
3510302,Capela do Alto,503.21,473.1,519.17,529.8,5.11
3510401,Capivari,526.99,492.9,536.32,549.74,5.39
3510500,Caraguatatuba,510.39,481.64,529.54,533.73,5.17
3510609,Carapicuíba,495.3,455.62,518.39,500.25,5.14
3510708,Cardoso,482.75,414.91,500.32,475.65,5.24
3510807,Casa Branca,495.99,467.37,511.34,504.67,5.26
3510906,Cássia dos Coqueiros,480.49,459.19,493.6,491.56,5.06
3511003,Castilho,477.48,453.33,510.65,487.23,5.17
3511102,Catanduva,534.06,510.38,547.44,586.6,5.31
3511201,Catiguá,462.54,444.98,496.54,510.45,5.26
3511300,Cedral,519.92,490.67,520.99,543.88,5.47
3511409,Cerqueira César,499.3,455.96,513.52,505.68,5.25
3511508,Cerquilho,516.2,478.98,529.41,542.02,5.45
3511607,Cesário Lange,478.24,450.78,500.43,499.87,5.14
3511706,Charqueada,494.62,472.28,518.56,495.09,5.34
3511904,Clementina,505.06,482.0,532.8,621.55,5.21
3512001,Colina,479.67,469.03,498.97,496.45,5.18
3512100,Colômbia,461.53,441.37,494.81,505.96,5.24
3512209,Conchal,499.75,486.83,512.61,529.18,5.18
3512308,Conchas,502.13,458.65,521.44,507.15,5.13
3512407,Cordeirópolis,510.22,475.21,529.25,509.77,5.32
3512506,Coroados,392.43,413.35,500.27,406.75,5.15
3512605,Coronel Macedo,485.55,439.35,510.97,484.79,4.9
3512704,Corumbataí,480.89,477.69,510.28,492.49,5.18
3512803,Cosmópolis,508.97,486.49,525.31,533.99,5.34
3512902,Cosmorama,497.92,457.56,531.95,505.26,5.22
3513009,Cotia,518.38,480.62,531.11,536.56,5.24
3513108,Cravinhos,500.38,472.44,523.55,519.56,5.4
3513207,Cristais Paulista,477.58,445.61,498.48,498.4,5.21
3513306,Cruzália,443.43,391.97,476.78,424.48,5.1
3513405,Cruzeiro,528.58,501.65,543.27,564.13,5.06
3513504,Cubatão,517.6,479.03,530.97,540.77,5.11
3513603,Cunha,497.9,462.72,514.19,501.14,4.72
3513702,Descalvado,531.03,496.98,542.65,566.4,5.35
3513801,Diadema,501.38,466.03,523.72,513.54,5.13
3513900,Divinolândia,503.97,477.31,519.73,521.03,5.1
3514007,Dobrada,460.61,441.35,482.81,475.88,4.94
3514106,Dois Córregos,485.48,465.84,504.0,506.54,5.15
3514205,Dolcinópolis,514.05,468.48,528.39,534.76,5.1
3514304,Dourado,496.66,479.29,520.83,515.34,5.28
3514403,Dracena,533.33,516.47,541.17,577.35,5.4
3514502,Duartina,492.13,484.92,501.95,532.42,5.33
3514601,Dumont,467.47,482.59,509.23,499.12,4.97
3514700,Echaporã,493.56,457.2,497.19,493.66,5.16
3514809,Eldorado,476.81,442.64,494.63,483.27,4.68
3514908,Elias Fausto,490.76,431.57,501.44,476.56,5.27
3514924,Elisiário,481.64,453.0,531.06,468.03,5.26
3514957,Embaúba,519.0,434.7,526.5,522.83,5.01
3515004,Embu das Artes,499.72,463.05,519.91,505.09,5.14
3515103,Embu-Guaçu,499.24,454.35,515.16,514.33,5.13
3515129,Emilianópolis,462.18,470.04,498.61,490.83,4.96
3515152,Engenheiro Coelho,535.83,506.9,547.9,579.56,5.14
3515186,Espírito Santo do Pinhal,513.54,489.73,527.56,545.48,5.34
3515194,Espírito Santo do Turvo,517.14,492.74,534.88,540.6,5.08
3515202,Estrela d'Oeste,479.54,452.09,494.53,519.74,5.41
3515301,Estrela do Norte,515.41,474.19,534.09,518.63,5.37
